p_value,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768
0.0,0.3458520150495248,0.34246903881714885,0.3398847916464161,0.3391206985775673,0.3382495264605503,0.33782618738581355,0.3375797342570905
0.1,0.19254102629935466,0.18906305468938442,0.1873685232153602,0.1862241601276403,0.18558072686803292,0.1852206515114318,0.18500041508285814
0.2,0.2008892669651166,0.19750522051727595,0.19559942526011045,0.19448663307668226,0.1938295613889937,0.19346907748088424,0.19324048286949733
0.3,0.21123883091545775,0.2076965833854742,0.20565502639502534,0.20456312935129933,0.2039269539290846,0.20353462280938822,0.2033224922334815
0.4,0.22348077642198433,0.21982420021553928,0.2176969775216193,0.21661509616296562,0.2159419609896163,0.2155763281903053,0.2153754479970968
0.5,0.23775290298624585,0.2340571600444966,0.23202827636522258,0.23083034839706962,0.23015896084921963,0.22977277287648157,0.2295493376223002
0.6,0.254480157266353,0.25089306110943566,0.24859616790872824,0.24745405048577196,0.24675840404546043,0.24637922760126993,0.2461246808014684
0.7,0.2738266216100657,0.26998079592401014,0.2678259205104505,0.2666693476600343,0.2659682733914265,0.2655632253198851,0.26533154765090744
0.8,0.2960107709398154,0.2921001751452146,0.28992020548125585,0.28869036124359915,0.2879941135007574,0.28758156159996007,0.28735396341445163
0.9,0.32057352280333523,0.3165922954202903,0.3144453416601953,0.31322610739740286,0.3125352169327938,0.3121358667026986,0.31189732211476356
1.0,0.3460079761354603,0.34227369329121293,0.3401440994981701,0.3389293931763417,0.33825182573815593,0.33785426005440256,0.33763067048659745
