degree,p_0.0,p_0.1,p_0.2,p_0.3,p_0.4,p_0.5,p_0.6,p_0.7,p_0.8,p_0.9,p_1.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.1482977294921875,0.12325775146484375,0.0997808837890625,0.0776739501953125,0.0581243896484375,0.04130828857421875,0.02669189453125,0.01552093505859375,0.0073577880859375,0.00224334716796875,0.000347900390625
9,0.12353424072265624,0.1110589599609375,0.09840240478515624,0.08687957763671875,0.07493499755859374,0.06322296142578125,0.05145965576171875,0.03928131103515625,0.027325439453125,0.01500457763671875,0.00269775390625
10,0.1134466552734375,0.1057073974609375,0.09738555908203125,0.08825714111328126,0.0785333251953125,0.0679931640625,0.05694366455078125,0.04564910888671875,0.03423004150390625,0.02242431640625,0.01078582763671875
11,0.1133221435546875,0.1096405029296875,0.10453094482421875,0.09833953857421875,0.09083953857421875,0.0827471923828125,0.072947998046875,0.06271881103515625,0.0519097900390625,0.04017791748046875,0.02855377197265625
12,0.11201568603515626,0.1128668212890625,0.11214111328125,0.11012847900390625,0.1061328125,0.10110748291015625,0.09465240478515625,0.08716766357421875,0.07821624755859374,0.06823822021484376,0.05720123291015625
13,0.10424530029296875,0.10920562744140624,0.1127740478515625,0.1156854248046875,0.11651641845703126,0.116195068359375,0.1146136474609375,0.110989990234375,0.10593017578125,0.09976654052734375,0.091644287109375
14,0.08931610107421875,0.09707427978515625,0.1046917724609375,0.11103057861328125,0.11673797607421875,0.12109344482421874,0.12443695068359376,0.126285400390625,0.12678192138671876,0.12543731689453125,0.12238372802734375
15,0.07011962890625,0.07909881591796875,0.0881121826171875,0.0965899658203125,0.10539794921875,0.1133184814453125,0.1209716796875,0.12756744384765625,0.132218017578125,0.136943359375,0.139814453125
16,0.05037689208984375,0.05845245361328125,0.06726470947265625,0.076495361328125,0.08620574951171875,0.095675048828125,0.10518218994140625,0.11454315185546875,0.1237078857421875,0.13196685791015625,0.1399578857421875
17,0.033026123046875,0.0397686767578125,0.04732513427734375,0.05534393310546875,0.0639239501953125,0.0730816650390625,0.08302001953125,0.09300140380859374,0.10341217041015625,0.11393524169921875,0.12383392333984375
18,0.020001220703125,0.0247296142578125,0.0302239990234375,0.03649658203125,0.0435321044921875,0.0511871337890625,0.05941497802734375,0.0684930419921875,0.078516845703125,0.08854095458984375,0.09911346435546875
19,0.01131988525390625,0.014339599609375,0.01807159423828125,0.02215179443359375,0.02718292236328125,0.0328167724609375,0.0392431640625,0.04628753662109375,0.05397125244140625,0.06271697998046875,0.07208465576171875
20,0.00585784912109375,0.0077386474609375,0.0099151611328125,0.01259857177734375,0.0157037353515625,0.01934722900390625,0.02375457763671875,0.0289752197265625,0.03458099365234375,0.04089630126953125,0.0480426025390625
21,0.002860107421875,0.00387725830078125,0.0050537109375,0.00653289794921875,0.00842742919921875,0.010804443359375,0.01340789794921875,0.01655670166015625,0.02016998291015625,0.02438812255859375,0.02957916259765625
22,0.00132720947265625,0.001807861328125,0.0024359130859375,0.00325164794921875,0.00426971435546875,0.00544921875,0.00702117919921875,0.0088751220703125,0.01110626220703125,0.01373779296875,0.01681854248046875
23,0.00057586669921875,0.0008154296875,0.0011126708984375,0.0014923095703125,0.00200286865234375,0.0026251220703125,0.0034625244140625,0.0044500732421875,0.0057232666015625,0.00718170166015625,0.00897979736328125
24,0.0002215576171875,0.000350341796875,0.000472412109375,0.00064788818359375,0.00091033935546875,0.0011932373046875,0.00161956787109375,0.00209259033203125,0.002716064453125,0.003553466796875,0.0044439697265625
25,8.941650390625e-5,0.00013671875,0.00018890380859375,0.0002508544921875,0.00037261962890625,0.0005035400390625,0.00069122314453125,0.00093109130859375,0.00124176025390625,0.001646728515625,0.00211334228515625
26,2.899169921875e-5,4.69970703125e-5,7.110595703125e-5,9.490966796875e-5,0.00015777587890625,0.000201416015625,0.0002960205078125,0.00037628173828125,0.00054473876953125,0.0007110595703125,0.00094573974609375
27,1.0986328125e-5,1.678466796875e-5,2.8076171875e-5,3.814697265625e-5,6.4697265625e-5,8.026123046875e-5,0.00010040283203125,0.00014862060546875,0.00022430419921875,0.00030548095703125,0.00040313720703125
28,4.2724609375e-6,7.01904296875e-6,1.434326171875e-5,1.46484375e-5,1.922607421875e-5,3.35693359375e-5,4.180908203125e-5,5.859375e-5,7.38525390625e-5,0.0001202392578125,0.00016021728515625
29,1.52587890625e-6,1.8310546875e-6,2.13623046875e-6,3.35693359375e-6,6.103515625e-6,1.03759765625e-5,1.739501953125e-5,1.953125e-5,2.86865234375e-5,4.5166015625e-5,6.378173828125e-5
30,0.0,3.0517578125e-7,1.220703125e-6,2.13623046875e-6,2.74658203125e-6,4.2724609375e-6,6.7138671875e-6,7.9345703125e-6,8.544921875e-6,1.312255859375e-5,2.13623046875e-5
31,6.103515625e-7,0.0,0.0,3.0517578125e-7,3.0517578125e-7,6.103515625e-7,2.13623046875e-6,1.8310546875e-6,2.74658203125e-6,4.2724609375e-6,7.9345703125e-6
32,0.0,3.0517578125e-7,0.0,0.0,3.0517578125e-7,0.0,3.0517578125e-7,0.0,6.103515625e-7,9.1552734375e-7,9.1552734375e-7
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.103515625e-7,0.0,0.0,3.0517578125e-7
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.103515625e-7,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0517578125e-7
