p_value,mean_assortativity,std_assortativity
0.0,-0.22205444267109287,0.0680197021450421
0.1,-0.18444620279802088,0.06424477833832895
0.2,-0.18868355631971337,0.05248651100579197
0.3,-0.1930945951025639,0.07477793471354896
0.4,-0.1410786754250023,0.043328510300774836
0.5,-0.1501069620558111,0.05702208962780007
0.6,-0.12988773083090435,0.05394632649053999
0.7,-0.10056244028430494,0.03324908932379651
0.8,-0.0825324444777608,0.04336196136251965
0.9,-0.051531063510983174,0.04626134611393564
1.0,-0.0596608893971528,0.002641960676848906
