p_value,mean_diameter,std_diameter,mean_apl,std_apl,mean_global_clust,std_global_clust,mean_local_clust,std_local_clust,mean_max_betweenness,std_max_betweenness
0.0,3.38,0.8545197959278961,2.1482817486572263,0.23352103172626318,0.0021563778699211617,0.000532086661859943,0.599841825632032,0.2109811973242713,0.4532095273860166,0.19813239265917099
0.1,3.02,0.9581018649775552,2.119891926879883,0.25867570403740986,0.0018141923838473823,0.00028659513553948513,0.5705267679046856,0.20287839700411928,0.5206313986018002,0.19982053873069192
0.2,3.42,1.41551173410458,2.2542334161376956,0.3404738176402351,0.001504307684635316,0.00021646319439639838,0.4213797818455836,0.22123232625926226,0.5066015905349726,0.2079692876930632
0.3,3.98,1.4775876644458186,2.3445353518676755,0.34710290910978675,0.0013756399733553426,0.000182534731820576,0.3287395971929981,0.20331278769663375,0.5026043814406997,0.23062381478830213
0.4,3.56,1.655664365080048,2.2877645669555666,0.3627605172476871,0.0011844010815541337,0.00014759003082567384,0.33253254026707924,0.1854507364725621,0.5843707439779122,0.22535464431588204
0.5,3.84,1.8556037578433735,2.3877481756591794,0.4434648600401797,0.001106445080225088,0.000131726094230134,0.26981970423297696,0.18095616448298338,0.5702857739087799,0.2533431441901052
0.6,4.8,1.737932151513777,2.6328688912963867,0.4917427515518035,0.0010381618427363975,9.080304295094855e-5,0.1784091697819224,0.16261912145219062,0.5128528176653319,0.20547920218498683
0.7,5.02,1.7201091564793445,2.746436566467285,0.5405172438132281,0.0009312431031251952,7.232722420964041e-5,0.1412159427217454,0.13947045709756162,0.5314267486642968,0.24275506379922143
0.8,5.62,1.8504274189097667,3.0478412786865237,0.6553991901595442,0.0008369003659598145,6.79461663631035e-5,0.10295588847678991,0.14282224959360718,0.5479193932930354,0.23773585825111665
0.9,6.42,1.5398118093336164,3.5268217718505857,0.7268763374072436,0.000728648548315974,7.631446707285648e-5,0.048571071129608005,0.08865871435080516,0.5467398605361085,0.27165132706655704
1.0,7.54,0.5034574339058885,5.34034667755127,0.0032593381316348862,0.00020907559822231047,2.349078564030513e-5,0.0002128708083908279,2.5538796568580118e-5,0.0006776221238312119,4.121974851011201e-5
