round,avg_gap_k2.0
1.0,0.3376921530903732
2.0,0.33764479411248016
3.0,0.3376460722608933
4.0,0.3376460722569583
5.0,0.3376460722573533
6.0,0.3376460722573793
7.0,0.3376460722569995
8.0,0.33764607225681587
9.0,0.3376460722580889
10.0,0.33764607225618887
11.0,0.33764607225721865
12.0,0.33764607225667875
13.0,0.33764607225689064
14.0,0.33764607227126786
15.0,0.3376460722575685
16.0,0.3376460722579213
17.0,0.3376460722567545
18.0,0.3376460722563961
19.0,0.3376460722573287
20.0,0.33764607225806037
21.0,0.33764607225737975
22.0,0.3376460722570452
23.0,0.3376460722572974
24.0,0.33764607225702903
25.0,0.33764607225754856
26.0,0.33764607225702664
27.0,0.3376460722564083
28.0,0.33764607225803395
29.0,0.33764607225694443
30.0,0.33764607225692045
31.0,0.3376460722573946
32.0,0.33764607225928245
33.0,0.33764607225692395
34.0,0.33764607225594984
35.0,0.33764607225697807
36.0,0.3376460722564709
37.0,0.33764607225844456
38.0,0.3376460722564565
39.0,0.33764607225734045
40.0,0.3376460722569839
41.0,0.33764607225660626
42.0,0.337646072257437
43.0,0.33764607225679205
44.0,0.3376460722572989
45.0,0.3376460722576163
46.0,0.33764607225746773
47.0,0.3376460722567002
48.0,0.33764607225622245
49.0,0.33764607225666
50.0,0.3376472720478701
51.0,0.33764607225666304
52.0,0.3376460722567785
53.0,0.3376460722575713
54.0,0.3376460722572103
55.0,0.33764607225801446
56.0,0.33764607225737286
57.0,0.3376460722577173
58.0,0.337646072257397
59.0,0.3376460722573894
60.0,0.3376460722570513
61.0,0.3376460722571346
62.0,0.33764607225770904
63.0,0.3376460722567367
64.0,0.33764607225735793
65.0,0.3376460722565724
66.0,0.33764607225736126
67.0,0.3376460722573052
68.0,0.33764607225579885
69.0,0.33764607225658444
70.0,0.33764607225614607
71.0,0.3376460722566692
72.0,0.33764607225781773
73.0,0.33764607225736837
74.0,0.3376460722571793
75.0,0.3376460722578358
76.0,0.33764607225657206
77.0,0.3376460722572896
78.0,0.33764607225652704
79.0,0.337646072257156
80.0,0.33764607225678306
81.0,0.33764607227415006
82.0,0.33764607225694093
83.0,0.3376460722572141
84.0,0.3376460722571095
85.0,0.3376460722574495
86.0,0.33764607225646776
87.0,0.3376460722570511
88.0,0.3376460722572089
89.0,0.337646072258632
90.0,0.33764607226280957
91.0,0.3376460722568098
92.0,0.3376460722566761
93.0,0.3376460722566466
94.0,0.3376460722571333
95.0,0.33764607225745263
96.0,0.3376460722562925
97.0,0.3376460722661978
98.0,0.337646072257296
99.0,0.3376460722568326
100.0,0.3376460722590516
