N,SpectralGap,HubDominance,Assortativity,Diameter
128.0,0.45912348067144976,9.147359953397055,-0.3473047571568438,3.18
256.0,0.4903016894989981,20.75276923322997,-0.3655354793553144,2.7
512.0,0.49066080320014654,23.340341221928828,-0.3231699410068793,2.98
1024.0,0.4975856914109592,27.266749499819717,-0.3044743256302127,3.04
2048.0,0.5333553001026322,30.235020393201495,-0.2738355096420371,3.24
4096.0,0.5310872740267361,34.51552543591279,-0.2639315741696342,2.9
8192.0,0.5610086986995682,37.50933062188253,-0.24414517206887482,2.78
16384.0,0.5473414755530147,38.81220430195764,-0.21518621128102083,3.1
32768.0,0.5522051008751219,42.010382786943076,-0.2232918393811692,3.02
65536.0,0.5504905209730826,43.923924777393275,-0.2104660272018372,2.92
